İç Kod (Internal Code);Firma (Company);Kalite Kodu (Article);Kalite Adı (Name);Desen Kodu (Design);En (Width);Gramaj (Weight);Karışım (Composition);Barkod / QR;Kayıt Tarihi (Created At)
ELT0000105;SOYLU ÖRME;SJ5-0768;;TRJ5101G;160 CM ± 5;205 GR/M2 ± 5;%95 PES %5 ELASTAN;37737;2026-08-24 12:15:08
ELT0000104;SOYLU ÖRME;TRJ3536J;;SJ5-0845;160 CM ± 5;165 GR/M2 ± 5;%60 COTTON %35 PES %5 ELASTAN;37991;2026-08-24 12:14:55
ELT0000103;ERŞAT;017523-10;;;145 CM (±%3);130 GR/M² (±%3);% 70 VISCOSE % 30 POLYESTER;3470;2026-08-24 07:38:03
ELT0000102;ERŞAT;017934-45;;;140 ( ±%3 ) CM;184 ( ±%3 ) GR/M²;%46 RECYCLED POLYESTER %26 VISCOSE %26 LYOCELL %2 ELASTANE;E272716;2026-08-24 07:37:53
ELT0000101;ERŞAT;012651-00;;E23345;145 CM (±%3);146 GR/M² (±%3);% 89 VISCOSE % 11 LINEN;3471;2026-08-24 07:37:38
ELT0000100;ERŞAT;012760-10;;E226304;140 (±%3);179 (±%3);%69 POLYESTER %29 VISCOSE %2 ELASTANE;3471;2026-08-24 07:37:21
ELT0000099;EMRETEKSTIL;1058-PR0153;;;150 CM. (+/- %3);180 GR/M2 (+/- %3);100% PES;;2026-08-21 06:47:22
ELT0000098;SERA TEKSTİL;SR 1094;NATAN;;165 CM;370 -- 390 GR/M2;71% PES 23% VISCOSE 6% EA;;2026-08-20 14:58:59
ELT0000097;PISAFABRIC;R - 10580;DALLAS;;160 CM (+/- 5,00%);400 G/M2 (+/- 5,00%);53% POLYAMIDE 47% ELASTANE LYCRA;;2026-08-20 07:33:07
ELT0000096;PISAFABRIC;Y - 10512;REMY;;145 CM (+/- 5,00%);200 G/M2 (+/- 5,00%);73%REC PRE CONS PA 27%CONV EA;;2026-08-19 14:54:25
ELT0000095;PISAFABRIC;Y - 10549;RUSSELL;;120 CM (+/- 5,00%);175 G/M2 (+/- 5,00%);81% POLYAMIDE 19% ELASTANE;;2026-08-19 14:38:07
ELT0000094;PISAFABRIC;Y - 10512;REMY;;145 CM (+/- 5,00%);200 G/M2 (+/- 5,00%);73%REC PRE CONS PA 27%CONV EA;;2026-08-19 14:37:53
ELT0000093;PISAFABRIC;R - 10580;DALLAS;;160 CM (+/- 5,00%);400 G/M2 (+/- 5,00%);53% POLYAMIDE 47% ELASTANE LYCRA;;2026-08-19 14:37:43
ELT0000092;PISAFABRIC;Y - 10565;TRACY;;125 CM (+/- 5,00%);230 G/M2 (+/- 5,00%);70% POLYAMIDE 30% ELASTANE;;2026-08-19 14:37:11
ELT0000091;PISAFABRIC;Y - 10285;SANTORINI;;120 CM (+/- 5,00%);210 G/M2 (+/- 5,00%);74% POLYAMIDE 26% ELASTANE LYCRA;;2026-08-19 14:37:00
ELT0000090;PISAFABRIC;T - 10339;DENNY;;160 CM (+/- 5,00%);170 G/M2 (+/- 5,00%);81% POLYAMIDE 19% ELASTANE LYCRA;;2026-08-19 14:36:27
ELT0000089;PISAFABRIC;Y - 10483;TAYLOR;;150 CM (+/- 5,00%);190 G/M2 (+/- 5,00%);57% POLYAMIDE 43% ELASTANE LYCRA;;2026-08-19 14:36:19
ELT0000088;PISAFABRIC;Y - 10484;STONY;;150 CM (+/- 5,00%);180 G/M2 (+/- 5,00%);84% POLYAMIDE 16% ELASTANE (LYCRA®);;2026-08-19 14:36:10
ELT0000087;PISAFABRIC;T - 10339;DENNY;;160 CM (+/- 5,00%);170 G/M2 (+/- 5,00%);81% POLYAMIDE 19% ELASTANE LYCRA;;2026-08-19 14:36:01
ELT0000086;PISAFABRIC;T - 10153;LEONORA;;150 CM (+/- 5,00%);160 G/M2 (+/- 5,00%);72% POLYAMIDE 28% ELASTANE;;2026-08-19 14:35:54
ELT0000085;PISAFABRIC;Y - 10529;KYOTO;;110 CM (+/- 5,00%);190 G/M2 (+/- 5,00%);91% POLYAMIDE 9% ELASTANE;;2026-08-19 14:35:48
ELT0000084;PISAFABRIC;Y - 10489;KORSTEN;;100 CM (+/- 5,00%);225 G/M2 (+/- 5,00%);82% POLYAMIDE 18% ELASTANE;;2026-08-19 14:35:42
ELT0000083;PISAFABRIC;T - 10522;KLYMENE;;160 CM (+/- 5,00%);200 G/M2 (+/- 5,00%);86% POLYAMIDE 14% ELASTANE LYCRA;;2026-08-19 14:35:34
ELT0000082;PISAFABRIC;Y - 10541;CANDY;;110 CM (+/- 5,00%);150 G/M2 (+/- 5,00%);94% POLYAMIDE 6% ELASTANE;;2026-08-19 14:33:30
ELT0000081;PISAFABRIC;Y - 10334;BAJA;;120 CM (+/- 5,00%);115 G/M2 (+/- 5,00%);82% POLYAMIDE 18% ELASTANE LYCRA;;2026-08-19 14:33:22
ELT0000080;SERA TEKSTİL;SR 1160;M4 SCUBA;;165 CM;310*320 GR/M2;50 45 5 MODAL PES EA;;2026-08-18 13:43:39
ELT0000079;SERA TEKSTIL;SR 1121;V.VISKON SCUBA;;175 CM;260 GR/M2;% 50 VISKON % 45 PES % 5 EA;;2026-08-18 12:59:37
ELT0000078;PRONTO DIGITAL;7392 BEYAZ;;61409;;;;;2026-08-18 12:59:27
ELT0000077;SERA TEKSTIL;SR 1120;R.VIS SCUBA;;170 CM;280 GR/M2;% 50 VISKON % 45 PES % 5 EA;;2026-08-18 12:59:17
ELT0000076;CELIKTAS;550/136;;;120 CM (+/-5%);290 GR/M2 (+/-10GR);67% VISCOSE 28% NYLON 5% EA;21020013;2026-08-18 12:59:09
ELT0000075;CELIKTAS;550/150;;;145 (+/-5%);290 (+/-10GR);76%VISCOSE 18%NYLON 6%EA;23090017;2026-08-18 12:59:01
ELT0000074;SOYLU ÖRME KUMAŞÇILIK A.;WM2-0704;INCE;;160 CM ± 5;210 GR/M2 ± 5;%68 VISCOSE %28 POLIAMID %4 ELASTAN;40294;2026-08-18 12:55:54
ELT0000073;ÖZÇİMEN TEXTILE;J-6025;;ZN-1538;124 CM (±3);160 GRM2 (±5);61% CO 34% PA 5% EA;000000505739;2026-08-14 05:44:48
ELT0000072;DÖRTRENK TEXTILE;SY-4163;SY-4163;2024-98-V1;150 CM;190 G/M²;PRINTED 100% COTTON WOVEN FABRIC;000001459;2026-08-13 13:49:12
ELT0000071;DÖRTRENK TEXTILE;5052;5052;STDD-7417-V1;150 CM.;175 G/M²;100% TENCEL WOVEN FABRIC;000003966;2026-08-13 13:49:08
ELT0000070;DÖRTRENK TEXTILE;AL-5186;AL-5186;2024-77;145 CM.;195 G/M²;PRINTED 100% VISCOSE WOVEN FABRIC;000001268;2026-08-13 13:49:02
ELT0000069;CELIKTAS;JCMKTR 1084/131;;;155(+/-5%);320(+/-10GR);58% CO 40% PES 2% EL;25100003;2026-08-13 13:48:55
ELT0000068;CELIKTAS;JCR 2474;;;135(+/-5%);230(+/-10GR);82% CO 15% PES 3% EL;25090011;2026-08-13 13:48:52
ELT0000067;CELIKTAS;JCR 2403;;;130(+/-5%);190(+/-10GR);74% CO 22% PES 4% EL;25040037;2026-08-13 13:48:49
ELT0000066;CELIKTAS;JCPRL 2418;;;165(+/-5%) CM;230(+/-10GR) GR/M2;43% CO 52% PES 5% EL;25050014;2026-08-13 13:48:46
ELT0000065;CELIKTAS TEKSTIL;JCMKTR 2297;;;120 (+/-5%);380 (+/-10GR);74% COTTON 24% POLYESTER 2% EA;24060001;2026-08-13 13:48:13
ELT0000064;EMRE TEKSTIL;32013;;;140 CM.;120 GR/M2;58 PES 40 VIS 2 EL;;2026-08-13 13:48:10
ELT0000063;EMRE TEKSTİL;42012;;;135 CM.;220 GR/M2;54%PES 40%VIS 6%EL;;2026-08-13 13:48:06
ELT0000062;EMRE TEKSTIL;1058 PR0153;;;150 CM;180 GR/M2;100 PES;;2026-08-13 13:48:01
ELT0000061;EMRE TEKSTIL;30122;;;135 CM;185 GR/M2;92 PES 4 MTF 4 EL;;2026-08-13 13:47:56
ELT0000060;EMRE TEKSTIL;1019-PR0059;;;147 CM;265 GR/M2;88% PES 8% PA 2% EL;;2026-08-13 13:47:51
ELT0000059;EMRE TEKSTIL;1058-PRO154;;;150 CM (+/-%);180 GR/M2 (+/-%);100%PES;;2026-08-13 13:47:46
ELT0000058;EMRE TEKSTIL;10217;;;155 CM;210 GR/M2;74 PES 26 MTTF;;2026-08-13 13:47:41
ELT0000057;EMRE TEKSTİL;30607;;;135 CM;225 GR/M2;%61 PES %22 CO %12 MTF %5 EL;;2026-08-13 13:47:37
ELT0000056;EMRE TEKSTİL;1025;;;150 CM (+/-%3);100 GR/M2 (+/-%3);79 CV 21 PA;;2026-08-13 13:47:32
ELT0000055;EMRE TEKSTIL;30274-BLK;;;135 CM.;170 GR/M2;89 PES 9 MTF 3 EL;;2026-08-13 13:47:28
ELT0000054;EMRE TEKSTIL;20173;;;135 CM.;215 GR/M2;62%CO 38%PES 2%EL;;2026-08-13 13:47:23
ELT0000053;EMRE TEKSTIL;1014-PR0034;;;130 CM;310 GR/M2;58 CO 40 PES 2 EA;;2026-08-13 13:47:18
ELT0000052;EMRE TEKSTIL;1066;;;155 CM.;250 GR/M2;76% COTTON 24% PES;;2026-08-13 13:47:13
ELT0000051;EMRE TEKSTIL;1036-PR0130;;;153 CM (+/-%3);190 GR/M2 (+/-%3);100 COTTON;;2026-08-13 13:47:07
ELT0000050;EMRE TEKSTIL;11402;;;160 CM;126 GR/M2;70 CO 30 PES;;2026-08-13 13:46:33
ELT0000049;EMRE TEKSTIL;1038-PRO140;;;135 CM.;225 GR/M2;95 PES 5 EL;;2026-08-13 13:46:28
ELT0000048;EMRE TEKSTIL;20201;;;160 CM;140 GR/M2;80% PES 20% LRX;;2026-08-13 13:46:24
ELT0000047;EMRE TEKSTIL;30211;;;135 CM;205 GR/M2;62% PES 21% CO 12% MTF 5% EL;;2026-08-13 13:46:19
ELT0000046;EMRE TEKSTIL;1019-PR0056;;;147 CM (+/-%3);265 GR/M2 (+/-%3);88%PES 8%PA 2%EL;;2026-08-13 13:46:15
ELT0000045;EMRE TEKSTIL;10623;;;160 CM;124 GR/M2;66%CO 34%PES;;2026-08-13 13:46:11
ELT0000044;EMRE TEKSTIL;30280;;;140 CM.;180 GR/M2;93%PES 4%MTF 3%EL;;2026-08-13 13:46:05
ELT0000043;EMRE TEKSTİL;1020-PR0075;;;140 CM.;235 GR/M2;97 PES 3 EL;;2026-08-13 13:46:01
ELT0000042;SERA TEKSTIL;SR 1026;SEPET JAKAR;;165 CM;300 GR/M2;% 49 COT % 59 PES % 1 EA;;2026-08-13 13:45:57
ELT0000041;SERA TEKSTIL;SR 1185;ATL CELIKLI;;165 CM;270 GR/M2;% 65 PES % 30 VIS % 5 EA;;2026-08-13 13:45:52
ELT0000040;SERA TEKSTIL;SR 1041;ÇİZGİ JAKAR;;135 CM;270 GR/M2;50 35 12 3 COT PES VIS EA;;2026-08-13 13:45:41
ELT0000039;SERA TEKSTİL;SR 1062;ÇAPRAZ JAKAR;;150 CM;250-260 GR/M2;70% POLYESTER 27% VISOSE 3% EA;;2026-08-13 13:45:36
ELT0000038;SERA TEKSTİL;SR 1179;SCUTER JAKAR;;150 CM;300 GR/M2;% 65 COT % 33 PES % 2 EA;;2026-08-13 13:45:32
ELT0000037;SERA TEKSTIL;SR 1153;LUREXLI OTTOMAN;;150 CM;300 GR/M2;65 21 13 2 PES VISKON LUREX;;2026-08-13 13:45:27
ELT0000036;SERA TEKSTIL;SR 1178;TAS JAKAR;;145 CM;380 GR/M2;77%PES 17%CV 6%EA;;2026-08-13 13:44:34
ELT0000035;SERA TEKSTIL;SR 1176;LABIRENT JAKAR;;170 CM;300 GR/M2;% 65 COT % 30 PES % 5 EA;;2026-08-13 13:44:22
ELT0000034;SERA TEKSTİL;SR 1180;EKOSE JAKAR;;180 CM;375 GR/M2;69% PES 29% VISCOSE 2% EA;;2026-08-13 13:44:18
ELT0000033;SERA TEKSTIL;SR 1181;PUNTALI JAKAR;;150 CM;280 GR/M2;% 65 PES % 30 VIS % 5 EA;;2026-08-13 13:44:08
ELT0000032;SERA TEKSTIL;SR 1182;TRM SAKALLI;;145 CM;285 GR/M2;50% PES 35%PA 15% VIS;;2026-08-13 13:44:03
ELT0000031;SERA TEKSTIL;SR 1183;KIRCIL JAKAR;;160 CM;290 GR/M2;41%PES 34%COT 23%VIS 2%EA;;2026-08-13 13:43:58
ELT0000030;SERA TEKSTİL;SR 1184;PUF EKOSEJAKAR;;150 CM;320 GR/M2;% 67 PES % 30 VIS % 3 EA;;2026-08-13 13:43:54
ELT0000029;SERA TEKSTİL;SR 1072;BAON JAKAR;;160 CM;320 GR/M2;75%COT 20%PES 5%EA;;2026-08-13 13:43:48
ELT0000028;SENA TEKSTIL;SR 1185;ATL CELIKLI;;165 CM;270 GR/M2;% 65 PES % 30 VIS % 5 EA;;2026-08-13 13:43:44
ELT0000027;SERA TEKSTIL;SR 1186;SIMLI JAKAR;;160 CM;290 GR/M2;70%PES 23% VISCOSE 4% LUREX3% EA;;2026-08-13 13:43:36
